,Agrupación Política,Lista,Distrito,Precandidato,Género
1201,POLITICA OBRERA,UNIDAD OBRERA,BUENOS AIRES,BARBARA GISELA CARRILLO,Femenino
1217,PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,BUENOS AIRES,GRACIELA ZULEMA ROSSO,Femenino
1267,PROYECTO JOVEN,FRENTE JOVEN,BUENOS AIRES,DANIELA SOLEDAD BARRIONUEVO,Femenino
1309,PROYECTO JOVEN,PATRIA UNIDA,BUENOS AIRES,ESTEBAN DANIEL GUTIERREZ,Masculino
1345,TODOS POR BUENOS AIRES,TODOS POR LA PROVINCIA,BUENOS AIRES,RODRIGO EMANUEL BENITEZ,Masculino
1387,UNION POR LA PATRIA,CELESTE Y BLANCA NúMERO LISTA 2,BUENOS AIRES,MÁXIMO CARLOS KIRCHNER,Masculino
1439,AUTENTICO LIBERALES CATAMARCA,LIBERAR Y POPULAR,CATAMARCA,JOSE MANUEL SARTOR,Masculino
1446,AUTENTICO LIBERALES CATAMARCA,LIBERTARIOS,CATAMARCA,SERGIO EDUARDO HEREDIA,Masculino
1453,FRENTE DE IZQUIERDA  Y DE TRABAJADORES - UNIDAD,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,CATAMARCA,RUTH ELIZABETH CHOCOBAR,Femenino
1460,FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,CATAMARCA,JULIO CESAR DIDB,Masculino
1467,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,CATAMARCA,ENRIQUE LUIS CESARINI,Masculino
1474,JUNTOS POR EL CAMBIO,GANA CATAMARCA,CATAMARCA,LUIS MARIA LOBO VERGARA,Masculino
1481,LA LIBERTAD AVANZA,UNION  EN DESARROLLO Y LIBERTAD,CATAMARCA,ALBERTO HORACIO ALMADA,Masculino
1488,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,CATAMARCA,MARCELA CRISTAL GIMENEZ,Femenino
1495,MOVIMIENTOLIBRESDELSUR,AZUL Y ROJO,CATAMARCA,ALEJANDRA GABRIELA ACOSTA,Femenino
1502,NUEVO ESPACIO DE OPINION,HACEMOS UNIDOS POR CATAMARCA   NEO,CATAMARCA,MARISA JUDITH NOBLEGA,Femenino
1509,UNION POR LA PATRIA,CELESTE Y BLANCA,CATAMARCA,DAVID SEBASTIAN NOBLEGA,Masculino
1516,FRENTE INTEGRADOR,INTEGRACIÓN I,CHACO,ALICIA GRISELDA FRIAS,Femenino
1522,JUNTOS POR EL CAMBIO,CHACO CAMBIA,CHACO,GERARDO CIPOLINI,Masculino
1531,LA LIBERTAD AVANZA,A,CHACO,CARLOS DANIEL GARCIA,Masculino
1540,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,90,CHACO,AMERICO QUIROGA,Masculino
1549,MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,CHACO,LAURA MARTINEZ CANEPA,Femenino
1558,PARTIDO DEL OBRERO,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,CHACO,CESAR GERMAN BAEZ,Masculino
1567,PARTIDO DEMOCRATA,ENCUENTRO LIBERTARIO POR EL CHACO,CHACO,CYNTHIA INES MEZA,Femenino
1573,UNION POR LA PATRIA,17 DE OCTUBRE  LETRA J,CHACO,ALDO ADOLFO LEIVA,Masculino
1582,UNION POR LA PATRIA,LA MARIA EVA,CHACO,JORGE GUSTAVO FERNANDEZ,Masculino
1586,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A UNIDAD DE LUCHADORES Y LA IZQUIERDA,CHUBUT,MARTIN ULACIA,Masculino
1595,GEN CHUBUT,EL AGUA VALE + QUE EL ORO,CHUBUT,OSCAR  PETERSEN,Masculino
1604,JUNTOS POR EL CAMBIO CHUBUT,A DESPIERTA CHUBUT,CHUBUT,JORGE ANTONIO AVILA,Masculino
1613,JUNTOS POR EL CAMBIO CHUBUT,C UN CAMINO REAL,CHUBUT,EDUARDO JOSE CONDE,Masculino
1622,LA LIBERTAD AVANZA CHUBUT,A UN CHUBUT MEJOR ES POSIBLE,CHUBUT,CESAR HERNAN TREFFINGER,Masculino
1631,UNIÓN POR LA PATRIA,B RECONSTRUIR CHUBUT,CHUBUT,LORENA BEATRIZ ALCALÁ,Femenino
1640,UNIÓN POR LA PATRIA,CELESTE Y BLANCA LETRA A,CHUBUT,CARLOS FABRICIO PETRAKOSKY,Masculino
1649,UNIÓN POR LA PATRIA,K UNION POR CHUBUT,CHUBUT,JOSÉ ALEJANDRO GLINSKI,Masculino
1658,APTITUD RENOVADORA,A HACEMOS POR NUESTRA CIUDAD,CIUDAD AUTÓNOMA DE BUENOS AIRES,DIEGO LUIS BOSSIO,Masculino
1680,EL MOVIMIENTO,B DEMOS,CIUDAD AUTÓNOMA DE BUENOS AIRES,CAROLINA DI BAIA,Femenino
1702,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA,CIUDAD AUTÓNOMA DE BUENOS AIRES,PATRICIO DEL CORRO,Masculino
1725,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,CIUDAD AUTÓNOMA DE BUENOS AIRES,JESSI GENTILE,Femenino
1748,FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,CIUDAD AUTÓNOMA DE BUENOS AIRES,ANGEL JAVIER ROMERO,Masculino
1771,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS A,CIUDAD AUTÓNOMA DE BUENOS AIRES,MAXIMILIANO CARLOS FRANCISCO FERRARO,Masculino
1794,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO B,CIUDAD AUTÓNOMA DE BUENOS AIRES,MAXIMILIANO GUIDO GUERRA MALDONADO,Masculino
1817,LA IZQUIERDA EN LA CIUDAD,A IZQUIERDA ANTICAPITALISTA   A,CIUDAD AUTÓNOMA DE BUENOS AIRES,FEDERICO WINOKUR,Masculino
1840,LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,CIUDAD AUTÓNOMA DE BUENOS AIRES,DIANA ELENA MONDINO,Femenino
1861,MOVIMIENTO DE JUBILADOS Y JUVENTUD,A TOLERANCIA,CIUDAD AUTÓNOMA DE BUENOS AIRES,GERMAN FOSS,Masculino
1882,MOVIMIENTO LIBRES DEL SUR,LISTA A AZUL Y ROJO,CIUDAD AUTÓNOMA DE BUENOS AIRES,DANIELA JOSEFINA GASPARINI,Femenino
1905,PARTIDO DEMOCRATA CRISTIANO,HACEMOS POR CABA,CIUDAD AUTÓNOMA DE BUENOS AIRES,CARLOS LIONEL TRABOULSI,Masculino
1928,POLíTICA OBRERA,A UNIDAD OBRERA,CIUDAD AUTÓNOMA DE BUENOS AIRES,JORGE ALTAMIRA,Masculino
1947,PRINCIPIOS Y VALORES,A GOBERNAR ES CREAR TRABAJO,CIUDAD AUTÓNOMA DE BUENOS AIRES,PIMPI COLOMBO,Femenino
1969,REPUBLICANOS UNIDOS,A REPUBLICANOS,CIUDAD AUTÓNOMA DE BUENOS AIRES,JOSE LUCAS MAGIONCALDA,Masculino
1992,UNION POR LA PATRIA,A ALTERNATIVA PARA GANAR BUENOS AIRES,CIUDAD AUTÓNOMA DE BUENOS AIRES,PAULA ANDREA PENACCA,Femenino
2018,ESTAMOS,LA INMENSA MINORìA,CÓRDOBA,PABLO RAMIRO OLMOS,Masculino
2033,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,UNIDAD DE LUCHADORES Y LA IZQUIERDA B,CÓRDOBA,LUCIANA ECHEVARRIA,Femenino
2051,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,UNIR Y FORTALECER LA IZQUIERDA A,CÓRDOBA,MARIA LILIANA OLIVERO,Femenino
2069,FRENTE FEDERAL DE ACCION SOLIDARIA,FRENTE FEDERAL CORDOBA,CÓRDOBA,SERGIO RAUL BLADIMIR FLORES,Masculino
2087,HACEMOS POR NUESTRO PAIS,HACEMOS UNIDOS POR CORDOBA   A,CÓRDOBA,CARLOS MARIO GUTIERREZ,Masculino
2105,HUMANISTA,A CORDOBA HUMANISTA,CÓRDOBA,FERNANDO ADRIAN SCHULE,Masculino
2123,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS A,CÓRDOBA,PEDRO GUSTAVO DELLAROSSA,Masculino
2140,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO C,CÓRDOBA,LUIS ALBINO PICAT,Masculino
2158,JUNTOS POR EL CAMBIO,UNIDAD POR EL CAMBIO,CÓRDOBA,JUAN CARLOS FORNERIS,Masculino
2176,LA LIBERTAD AVANZA,VIVA LA LIBERTAD,CÓRDOBA,MARIA CELESTE PONCE,Femenino
2194,LA LIBERTAD PRIMERO,LA LIBERTAD PRIMERO,CÓRDOBA,SANTIAGO FELIPE PIÑEIRO,Masculino
2212,MOVIMIENTO AVANZADA SOCIALISTA,IZQUIERDA ANTICAPITALISTA    A,CÓRDOBA,JULIA DI SANTI,Femenino
2230,MOVIMIENTO DE ACCION VECINAL,COMPROMISO VECINAL LISTA A,CÓRDOBA,JORGE ALBERTO ESTEBAN,Masculino
2248,MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO A,CÓRDOBA,MARISA CARIDDI,Femenino
2266,PROYECTO JOVEN,CENTRO Y NORTE SUR UNIDOS,CÓRDOBA,JULIO CESAR PEREZ,Masculino
2283,PROYECTO JOVEN,NUEVAS IDEAS LISTA C,CÓRDOBA,RODOLFO MARIO CEJAS,Masculino
2301,PROYECTO JOVEN,UNIDOS  LISTA  A,CÓRDOBA,VICTOR HUGO TOLEDO,Masculino
2319,UNION POPULAR FEDERAL,CIUDADANOS C,CÓRDOBA,JUAN CARLOS VARGAS,Masculino
2334,UNION POPULAR FEDERAL,POPULARES CBA   F,CÓRDOBA,MARIA CAROLINA GIELSOMINO LEON,Femenino
2352,UNION POPULAR FEDERAL,"POR CLUB, CAPILLA Y COLEGIO   A",CÓRDOBA,MARIO ALFREDO PERAL,Masculino
2370,UNION POPULAR FEDERAL,PRODUCCIÓN Y TRABAJO   D ,CÓRDOBA,DANIEL BONIFACIO OVIEDO,Masculino
2388,UNION POPULAR FEDERAL,UNIDOS POR LA GENTE   B,CÓRDOBA,JOSE FEDERICO ACUÑA,Masculino
2406,UNION POR LA PATRIA,CELESTE Y BLANCA   A,CÓRDOBA,GABRIELA BEATRIZ ESTEVEZ,Femenino
2424,UNITE POR LA LIBERTAD Y LA DIGNIDAD,CAMPO POPULAR B,CÓRDOBA,ANGELA MILENA BURGOS NIÑO,Femenino
2442,UNITE POR LA LIBERTAD Y LA DIGNIDAD,DEMOS A,CÓRDOBA,CARLOS ALBERTO AGUIRRE,Masculino
2460,COMPROMISO FEDERAL,EVOLUCION Y PROGRESO,CORRIENTES,DANIEL ESTEBAN ARCE,Masculino
2468,ENCUENTRO POR CORRIENTES - ECO + VAMOS CORRIENTES,VERDE,CORRIENTES,ALFREDO VALLEJOS,Masculino
2478,HACEMOS POR NUESTRO PAIS,FORO SOCIALCRISTIANO,CORRIENTES,ELVIRA LUISA MIRANDA,Femenino
2488,HACEMOS POR NUESTRO PAIS,HACEMOS JUNTOS,CORRIENTES,MARIA HILDA ALMADA,Femenino
2498,LA LIBERTAD AVANZA,VIVA LA LIBERTAD,CORRIENTES,CLAUDIO LISANDRO ALMIRON,Masculino
2508,"MOV. INTEG. LATIONAMERICANA DE EXPRESION SOCIAL POR TIERRA, TECHO Y TRABAJO (MILES TTT)",PRINCIPIOS Y VALORES,CORRIENTES,EMILIO RICARDO ROTELA,Masculino
2518,MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,CORRIENTES,GABRIEL ALEJANDRO ROMERO,Masculino
2528,PARTIDO LIBERTARIO,UNIDAD Y COMPROMISO,CORRIENTES,DIEGO ARNALDO BENITEZ,Masculino
2534,UNION POR LA PATRIA,CELESTE Y BLANCA,CORRIENTES,NANCY ARACELY SAND GIORASI,Femenino
2544,JUNTOS POR ENTRE RIOS,AHORA ENTRE RíOS,ENTRE RÍOS,FRANCISCO ALEJANDRO MORCHIO,Masculino
2554,LA LIBERTAD AVANZA,LA LIBERTAD POR SIEMPRE,ENTRE RÍOS,BELTRAN BENEDIT,Masculino
2563,MAS PARA ENTRE RIOS,2 MAS PARA ENTRE RIOS,ENTRE RÍOS,GUSTAVO EDUARDO BORDET,Masculino
2573,MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,ENTRE RÍOS,NAHUEL PABLO LEIS POU,Masculino
2583,NUEVA IZQUIERDA,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,ENTRE RÍOS,NICOLAS ZUTTION,Masculino
2593,JUNTOS POR EL CAMBIO,#PODES CONFIAR ESTAMOS CON VOS,FORMOSA,ANA GABRIELA NEME,Femenino
2606,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,FORMOSA,RICARDO BURYAILE,Masculino
2619,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,FORMOSA,GERARDO GUSTAVO GONZALEZ,Masculino
2632,LA NUEVA INDEPENDENCIA,MILITANTES AMIGOS,FORMOSA,JACINTO LOPEZ,Masculino
2638,MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,FORMOSA,MARCELA BEATRIZ MOLINA,Femenino
2651,UNION POR LA PATRIA,"LISTA 2 CELESTE, BLANCA Y AZUL",FORMOSA,MARIA GRACIELA PAROLA,Femenino
2664,CAMBIA JUJUY,LISTA A SIGAMOS CAMBIANDO JUJUY,JUJUY,JORGE COLO RIZZOTTI,Masculino
2677,CAMBIA JUJUY,LISTA B LA FUERZA DEL CAMBIO,JUJUY,ROSARIO DEL HUERTO AGOSTINI,Femenino
2690,CAMBIA JUJUY,LISTA C UNIR AL CAMBIO,JUJUY,JORGE DANIEL MACIAS,Masculino
2701,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,A UNIDAD DE LUCHADORES Y LA IZQUIERDA,JUJUY,BETINA AMELIA RIVERO,Femenino
2714,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,JUJUY,NATALIA ANDREA MORALES,Femenino
2727,HACEMOS POR NUESTRO PAIS,HACEMOS POR JUJUY,JUJUY,HUGO ALBERTO HORVATH,Masculino
2740,MOVIMIENTO INTEGRACIóN LATINOAMERICANA DE EXPRESIóN SOCIAL-M.I.L.E.S.,JUJUY TIENE FUTURO CON PRINCIPIOS Y VALORES,JUJUY,EVANGELINA ROSANA CANCHI,Femenino
2752,PARTIDO RENOVADOR FEDERAL,LIBERTAD JUJUY 1A,JUJUY,MANUEL QUINTAR,Masculino
2765,UNION POR LA PATRIA,CELESTE Y BLANCA,JUJUY,GABRIEL NILSON ORTEGA,Masculino
2778,UNION POR LA PATRIA,UNIDAD RENOVADORA,JUJUY,GUILLERMO EUGENIO MARIO SNOPEK,Masculino
2791,UNION POR LA PATRIA,UNION POR JUJUY,JUJUY,ALEJANDRO FRANCISCO SNOPEK,Masculino
2804,FRENTE DE IZQUIERDA Y DE TRABAJADORES,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,LA PAMPA,JONATAN EZEQUIEL GOMEZ,Masculino
2811,FRENTE DE IZQUIERDA Y DE TRABAJADORES,UNIR Y FORTALECER LA IZQUIERDA 1A,LA PAMPA,CLAUDIA EUGENIA LUPARDO,Femenino
2818,JUNTOS POR EL CAMBIO,JUNTOS POR LA PAMPA,LA PAMPA,FRANCISCO JAVIER TORROBA,Masculino
2825,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,LA PAMPA,MARTIN MIGUEL ARDOHAIN,Masculino
2832,MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,LA PAMPA,AYELEN PILCIC,Femenino
2839,UNION POR LA PATRIA,CONSENSO PERONISTA,LA PAMPA,ARIEL RAUSCHENBERGER,Masculino
2846,DEMOCRATA CRISTIANO,HACEMOS UNIDOS POR LA RIOJA,LA RIOJA,CARLOS SEBASTIAN PARISI,Masculino
2859,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD, UNIDAD DE LUCHADORES Y  LA IZQUIERDA,LA RIOJA,MAJO GONZALEZ,Femenino
2872,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,LA RIOJA,CAROLINA  GOYCOCHEA,Femenino
2885,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS A,LA RIOJA,DIEGO FELIPE ALVAREZ,Masculino
2898,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO B,LA RIOJA,LUCIANA DE LEON,Femenino
2911,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,LA RIOJA,MARTIN ALEXIS MENEM,Masculino
2924,PROYECTO JOVEN,DEMOS LIBERTAD,LA RIOJA,RUBEN ENRIQUE CORDOBA DUARTE,Masculino
2937,PROYECTO JOVEN,VIVA LA LIBERTAD,LA RIOJA,LEANDRO IVAN OVIEDO,Masculino
2950,UNION DEL CENTRO DEMOCRATICO- UCEDE,FUERZA LIBERAL,LA RIOJA,ALBERTO FABIAN GATTI,Masculino
2963,UNION POR LA PATRIA,CELESTE Y BANCA,LA RIOJA,SERGIO GUILLERMO CASAS,Masculino
2976,CAMBIA MENDOZA,A MENDOZA HACE,MENDOZA,LISANDRO NIERI,Masculino
2987,COMPROMISO FEDERAL,A HACEMOS UNIDOS POR MENDOZA,MENDOZA,RAUL EDUARDO MERCAU,Masculino
2998,FRENTE DE IZQUIERDA Y DE TRABAJADORES – UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA ,MENDOZA,LAURA GABRIELA ESPECHE,Femenino
3009,FRENTE DE IZQUIERDA Y DE TRABAJADORES – UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,MENDOZA,MARTIN RODRIGUEZ,Masculino
3020,LA LIBERTAD AVANZA,A LA LIBERTAD MENDOZA,MENDOZA,MARIA MERCEDES LLANO,Femenino
3031,MOVIMIENTO AL SOCIALISMO (MAS),IZQUIERDA ANTICAPITALISTA,MENDOZA,LIS LEILA LOPEZ,Femenino
3042,MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,MENDOZA,ADRIAN BONADA,Masculino
3053,UNION POR LA PATRIA,A CELESTE Y BLANCA,MENDOZA,MARTIN AVEIRO,Masculino
3064,FRENTE RENOVADOR DE LA CONCORDIA-INNOVACION FEDERAL MNES,"ROJA, AZUL Y BLANCA",MISIONES,"""""COLO"""" VANCSIK DANIEL A.",Masculino
3078,FUERZA LIBERAL MNES,LIBERTAD VIVA,MISIONES,RATIER BERRONDO JORGE U.,Masculino
3092,JUNTOS POR EL CAMBIO MNES,EL CAMBIO DE NUESTRAS VIDAS,MISIONES,ALFREDO O. SCHIAVONI,Masculino
3106,JUNTOS POR EL CAMBIO MNES,LA FUERZA DEL CAMBIO,MISIONES,R. EMMANUEL BIANCHETTI,Masculino
3120,PARTIDO AGRARIO Y SOCIAL MNES,POR LA GENTE  LETRA P,MISIONES,"""""CACHO"""" HECTOR O. BARBARO",Masculino
3137,PARTIDO DEL OBRERO,UNIDAD DE TRABAJADORES Y LA IZQUIERDA,MISIONES,"ANIBAL """"TATO"""" ZERETZKI",Masculino
3148,UNION POPULAR FEDERAL MNES,HACEMOS UNIDOS,MISIONES,ABEL MOTTE,Masculino
3162,ARRIBA NEUQUEN,A,NEUQUÉN,NADIA JUDITH MARQUEZ,Femenino
3169,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIDAD DE LUCHADORES Y LA IZQUIERDA,NEUQUÉN,PATRICIA  JURE,Femenino
3176,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIR Y FORTALECER LA IZQUIERDA,NEUQUÉN,ANGELICA LAGUNAS,Femenino
3183,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,NEUQUÉN,LETICIA INES ESTEVES,Femenino
3190,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,NEUQUÉN,FRANCISCO SANCHEZ,Masculino
3197,LIBRES Y SOCIALISTAS,OJALA LA TIERRA,NEUQUÉN,GLADYS ABALLAY,Femenino
3204,MOVIMIENTO POPULAR NEUQUINO,LETRA A   NEUQUEN PAIS,NEUQUÉN,SANDRO BADILLA,Masculino
3211,MOVIMIENTO POPULAR NEUQUINO,UNIDOS POR NEUQUEN,NEUQUÉN,HUGO VICTOR RAUQUE,Masculino
3218,UNIÓN POR LA PATRIA,CELESTE Y BLANCA N°2,NEUQUÉN,PABLO TODERO,Masculino
3225,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA,RIO NEGRO,ALHUE GAVUZZO,Femenino
3234,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,RIO NEGRO,NORMA ALICIA GONZALEZ DARDIK,Femenino
3243,JUNTOS POR EL CAMBIO,B LA FUERZA DEL CAMBIO,RIO NEGRO,SERGIO EDUARDO CAPOZZI,Masculino
3252,JUNTOS POR EL CAMBIO,C EL CAMBIO DE NUESTRAS VIDAS,RIO NEGRO,ROBERTO BRUSA,Masculino
3261,JUNTOS SOMOS RIO NEGRO,SIGAMOS CRECIENDO,RIO NEGRO,LUIS DI GIACOMO,Masculino
3270,MOVIMIENTO AL SOCIALISMO,A IZQUIERDA ANTICAPITALISTA,RIO NEGRO,AURELIO MANUEL VAZQUEZ,Masculino
3279,PARTIDO FE,A CON FE,RIO NEGRO,MARIA LORENA VILLAVERDE,Femenino
3288,UNION POR LA PATRIA,A AZUL CELESTE Y BLANCA UNIDAD,RIO NEGRO,MARTIN IGNACIO SORIA,Masculino
3297,AHORA PATRIA,AHORA LIBERTAD A,SALTA,MARIA EMILIA OROZCO,Femenino
3307,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA ,SALTA,DANIELA BEATRIZ PLANES SAIZ,Femenino
3317,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SALTA,ANDREA VILLEGAS,Femenino
3327,JUNTOS POR EL CAMBIO,CAMBIO RADICAL   D,SALTA,BERNARDO SOLA,Masculino
3337,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS   B,SALTA,INES LIENDO,Femenino
3347,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO   A,SALTA,MIGUEL NANNI,Masculino
3357,JUNTOS POR EL CAMBIO,PARA RENOVAR SALTA   C,SALTA,OSCAR NORMANDO ROCHA ALFARO,Masculino
3367,MOVIMIENTO AL SOCIALISMO,A IZQUIERDA ANTICAPITALISTA,SALTA,MARCOS TOGNOLINI,Masculino
3377,MOVIMIENTO LIBRES DEL SUR,40 AZUL Y ROJO   A,SALTA,IGNACIO DANIEL PALARIK,Masculino
3387,PARTIDO AUTONOMISTA,HACEMOS UNIDOS POR SALTA A,SALTA,NICOLAS ZENTENO NUÑEZ,Masculino
3397,POLITICA OBRERA,UNIDAD OBRERA A,SALTA,VIOLETA GIL,Femenino
3407,SI-SALTA INDEPENDIENTE,A   POR UNA SALTA INDEPENDIENTE,SALTA,FELIPE BIELLA,Masculino
3417,UNION POR LA PATRIA,UNION PARA LA VICTORIA K,SALTA,JESUS RAMON VILLA,Masculino
3427,UNION POR LA PATRIA,UNION POR LA FELICIDAD DE SALTA C,SALTA,MARIA ANGELICA MARTINEZ MORALES MIY,Femenino
3437,UNION POR LA PATRIA,UNION POR SALTA A,SALTA,PABLO ISMAEL OUTES,Masculino
3447,ALIANZA JUNTOS POR EL CAMBIO,CAMBIA SAN JUAN,SAN JUAN,NANCY VIVIANA PICON MARTINEZ,Femenino
3460,ALIANZA JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,SAN JUAN,MARIA EUGENIA DEL VALLE RAVERTA CASTRO,Femenino
